,player_name,value,follower,shots_total,shots_on,goals_total,goals_assists,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_success,penalty_missed,games_appearences,games_lineups,substitutes_in,substitutes_out,substitutes_bench,age,height,weight,rating
0,A. Anguissa,20.0,67879,0.5541,0.1288,0.0129,0.0,22.1879,0.2706,3.2985,1.2112,0.1417,0.8504,3.4403,1.6622,1.4431,1.1468,0.5283,0.7473,0.1804,0.0129,0.0,0.0,0.0,0.0,0.0,1.4045,0.9277,0.4767,0.2577,0.5927,25.0,184.0,78.0,2.333333333333333
1,A. Bastoni,31.5,232370,0.3101,0.1128,0.0564,0.0,40.9924,0.3665,13.7863,1.0431,0.7048,1.1841,5.3003,3.0448,0.6202,0.5075,1.2405,1.2969,0.1973,0.0,0.0,0.0,0.0564,0.0,0.0,1.2969,0.9304,0.3665,0.0564,1.607,21.0,190.0,75.0,4.777777777777779
2,A. Belotti,32.0,740918,2.8169,1.0539,0.4432,0.0985,12.3215,0.9554,4.0185,0.4629,0.0985,0.2659,12.3215,5.683,1.9305,0.9948,2.8563,1.7039,0.1083,0.0,0.0,0.0394,0.0,0.0985,0.0295,1.0539,0.9948,0.0591,0.0689,0.0689,27.0,181.0,72.0,5.25
3,A. Christensen,24.0,601838,0.3802,0.0613,0.0,0.0123,58.0206,0.1717,13.4535,1.0302,0.3802,1.3368,6.4631,4.1943,0.1594,0.1594,0.5641,0.5887,0.0981,0.0,0.0,0.0,0.0,0.0,0.0,1.1159999999999999,1.0056,0.1104,0.184,0.7604,24.0,188.0,78.0,6.0
4,A. Correa,32.0,652886,1.9735,0.8442,0.2282,0.2167,23.4885,1.5286,9.1604,0.7757,0.1141,0.9354,12.5827,5.008,4.4376,2.5439,1.6085,1.6541,0.2738,0.0114,0.0114,0.0114,0.0114,0.0,0.0,1.5514,0.9697,0.5818,0.6731,0.616,25.0,171.0,70.0,7.0
5,A. Davies_Mun,45.0,947786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1277,0.0,0.0,0.0,0.0,0.0,0.0,1.0217,1.0217,0.0,0.1277,0.0,20.0,181.0,72.0,0.0
6,A. Di MarÃ­a,32.0,11513791,3.0824,1.1139,0.4705,0.3745,32.2451,2.2278,6.1456,0.4321,0.048,0.4225,4.3787,1.7380000000000002,3.2456,1.6804,0.6434,0.4225,0.096,0.0,0.0,0.0096,0.0192,0.0096,0.0096,1.2003,1.0755,0.1248,0.5857,0.2401,32.0,180.0,75.0,4.833333333333333
7,A. Diallo_PSG,28.0,19467,0.3016,0.1206,0.0,0.0603,69.6622,0.2413,19.7829,1.0856,0.2413,0.7841,0.0,0.0,1.3269,1.0856,0.4825,1.8094,0.2413,0.0,0.0,0.0,0.0,0.0,0.0,1.2666,1.0253,0.2413,0.2413,0.7841,24.0,187.0,79.0,7.0
8,A. Diawara,18.5,240919,0.7857,0.1964,0.0491,0.0246,66.8795,0.7120000000000001,21.7039,1.1048,0.1228,1.6695,4.7139999999999995,2.1851,0.6875,0.6138,0.6875,1.6695,0.3192,0.0,0.0,0.0,0.0,0.0246,0.0,1.5959,0.9575,0.6384,0.221,1.7432,23.0,183.0,75.0,6.363636363636362
9,A. DoucourÃ©,20.0,46206,1.5439,0.4384,0.1525,0.1048,46.3452,1.1246,4.6793,1.9632,0.2287,1.1341,10.2163,4.8509,1.5725,1.0388,0.5146,1.2199,0.2668,0.0,0.0,0.0,0.0191,0.0,0.0,1.0388,1.0007,0.0381,0.1048,0.0381,27.0,184.0,75.0,4.666666666666667
