,player_name,position,age,height,weight,rating,value,follower,shots_total,shots_on,goals_total,goals_conceded,goals_assists,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_success,penalty_missed,penalty_saved,games_appearences,games_lineups,substitutes_in,substitutes_out,substitutes_bench,games_played
0,A. Anguissa,2.0,25.0,184.0,78.0,2.3333333333333335,20.0,67879,0.554,0.1288,0.0129,0.0,0.0,22.1875,0.2706,3.2985,1.2112,0.1417,0.8504,3.4402,1.6621,1.4431,1.1467,0.5283,0.7473,0.1804,0.0129,0.0,0.0,0.0,0.0,0.0,0.0,1.4044,0.9277,0.4767,0.2577,0.5927,77.6111
4,A. Di MarÃ­a,2.0,32.0,180.0,75.0,4.833333333333333,32.0,11513791,3.0823,1.1138,0.4705,0.0,0.3745,32.2437,2.2277,6.1453,0.4321,0.048,0.4225,4.3785,1.738,3.2455,1.6804,0.6433,0.4225,0.096,0.0,0.0,0.0096,0.0192,0.0096,0.0096,0.0,1.2003,1.0754,0.1248,0.5857,0.2401,104.1444
5,A. DoucourÃ©,2.0,27.0,184.0,75.0,4.666666666666667,20.0,46206,1.5438,0.4384,0.1525,0.0,0.1048,46.3437,1.1245,4.6792,1.9632,0.2287,1.1341,10.216,4.8507,1.5724,1.0388,0.5146,1.2198,0.2668,0.0,0.0,0.0,0.0191,0.0,0.0,0.0,1.0388,1.0006,0.0381,0.1048,0.0381,104.9333
6,A. Golovin,2.0,24.0,180.0,69.0,4.666666666666667,20.0,11440,1.7539,0.6715,0.1403,0.0,0.1203,35.1882,1.4733,6.6347,0.8218,0.0501,1.0223,7.8675,3.7884,2.1648,1.5134,1.8441,1.5635,0.2706,0.01,0.01,0.0,0.0,0.0,0.01,0.0,1.1024,1.0323,0.0702,0.3408,0.0702,99.7778
10,A. Harit,2.0,23.0,180.0,67.0,6.714285714285714,24.0,1019540,1.2031,0.5363,0.1594,0.0,0.1305,29.483,1.7104,8.3347,0.4204,0.0145,0.6088,9.7697,5.1892,4.363,2.4642,3.5368,0.9277,0.1305,0.0,0.0,0.1015,0.0,0.0435,0.0,0.0,1.2756,1.0002,0.2754,0.4928,0.4638,68.9889
11,A. Iwobi,2.0,24.0,180.0,75.0,6.384615384615385,25.5,2393,2.1299,0.9481,0.1429,0.0,0.2078,42.8831,2.1169,12.4156,1.3377,0.1169,0.5844,10.4156,4.5974,3.961,2.4026,0.7143,0.6364,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4416,1.013,0.4286,0.6753,0.7013,77.0
21,A. Pereira,2.0,24.0,178.0,71.0,4.428571428571429,28.0,123684,1.8295,0.6492,0.0787,0.0,0.177,34.2099,1.6328,13.8885,1.0623,0.0393,0.7869,11.3508,4.2689,2.4787,1.2393,1.2197,1.8295,0.3148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7311,1.023,0.7082,0.6689,1.1016,50.8333
23,A. Rabiot,2.0,25.0,188.0,71.0,4.9,24.0,1741682,0.6609,0.1652,0.0826,0.0,0.1101,62.3406,0.7848,8.481,0.8674,0.1377,1.1152,7.173,4.1166,1.8587,1.363,1.0188,1.5282,0.1377,0.0138,0.0,0.0,0.0,0.0,0.0,0.0,1.2666,1.005,0.2616,0.3304,0.3993,72.6333
24,A. Ramsey,2.0,30.0,178.0,76.0,5.833333333333333,25.5,4059287,2.4223,0.993,0.331,0.0,0.2407,45.2557,1.324,11.8857,1.4594,0.0903,0.9178,8.6359,4.0923,1.7302,1.1886,1.4594,1.4443,0.0451,0.0,0.0,0.0451,0.0,0.015,0.0,0.0,1.4744,1.008,0.4664,0.4514,0.6169,66.4667
28,A. Saint-Maximin,2.0,23.0,173.0,67.0,4.384615384615385,40.0,409157,1.5546,0.5262,0.1674,0.0,0.0718,12.7598,1.1839,6.8164,0.2153,0.0239,0.1913,10.093,5.2259,5.3574,3.3006,1.3872,0.3109,0.0478,0.0,0.0,0.0239,0.0,0.012,0.012,0.0,1.148,1.0404,0.1076,0.586,0.1435,83.6222
34,A. Witsel,2.0,31.0,186.0,73.0,6.0,32.0,1451724,1.1155,0.2756,0.1312,0.0,0.0787,67.2178,0.5118,7.3885,1.0499,0.21,1.2598,4.6194,2.9003,1.0499,0.8793,1.4304,0.958,0.0787,0.0,0.0,0.0,0.0,0.0131,0.0,0.0,1.063,0.9843,0.0787,0.0656,0.0787,76.2
36,Allan_NAP,2.0,29.0,173.0,73.0,6.909090909090909,72.0,473238,0.863,0.2183,0.0624,0.0,0.0832,54.2849,0.9982,9.3681,1.9131,0.1976,0.9774,12.7472,6.5088,2.9009,1.9027,1.8195,1.57,0.1768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2581,1.0085,0.2495,0.3015,0.2807,96.1778
40,B. Cristante,2.0,25.0,186.0,80.0,6.3,20.0,158027,1.7798,0.4689,0.1812,0.0,0.0746,41.3606,1.2043,7.6732,0.8313,0.1385,0.9698,11.7123,5.4139,1.865,1.2469,0.5542,1.9822,0.2238,0.0,0.0107,0.0213,0.0,0.0,0.0107,0.0,1.2043,1.0231,0.1812,0.3197,0.2238,93.8333
45,B. Silva,2.0,26.0,173.0,64.0,6.642857142857143,80.0,2076355,1.8257,0.7706,0.2752,0.0,0.2936,50.1468,2.1651,10.4679,1.1376,0.0642,0.7706,9.3119,4.3853,2.945,1.9633,0.8991,0.8716,0.1009,0.0,0.0,0.0275,0.0092,0.0092,0.0,0.0,1.3486,0.9633,0.3853,0.2385,0.4954,109.0
47,C. Eriksen,2.0,28.0,182.0,76.0,6.3125,68.0,2041938,2.6197,1.0339,0.2629,0.0,0.2891,47.7161,2.4796,9.8043,1.1478,0.0613,0.7798,6.7202,2.646,1.2442,0.6484,0.5607,0.5169,0.0789,0.0,0.0,0.0,0.0,0.0088,0.0,0.0,1.2004,0.9638,0.2366,0.1928,0.3154,114.1333
51,C. Pulisic,2.0,22.0,172.0,69.0,6.733333333333333,54.0,2677415,2.6615,0.9836,0.2459,0.0,0.3038,39.2575,1.9672,15.8679,0.8245,0.1302,0.5786,21.4947,9.2864,9.1707,4.6866,2.1553,0.8245,0.0434,0.0,0.0,0.0579,0.0,0.0,0.0,0.0,1.3597,0.9981,0.3616,0.4629,0.4918,69.1333
53,C. Soler,2.0,23.0,180.0,76.0,7.0,40.0,160657,1.5037,0.5439,0.0853,0.0,0.1386,28.1017,1.1091,7.54,0.8319,0.16,0.4266,8.4038,3.8926,1.717,0.8958,1.6744,1.5677,0.2346,0.0,0.0,0.0107,0.0107,0.0,0.0,0.0,1.2158,0.9918,0.224,0.4159,0.3093,93.7667
56,C. Ãœnder,2.0,23.0,173.0,66.0,6.4,24.0,979374,2.6569,0.8918,0.3159,0.0,0.2044,21.5339,1.7093,12.0211,0.2973,0.0557,0.7803,6.6515,2.8984,3.1771,1.9323,1.3749,0.353,0.0743,0.0,0.0,0.0,0.0186,0.0,0.0,0.0,1.6536,1.0776,0.576,0.7989,1.0219,53.8222
57,Casemiro,2.0,28.0,185.0,84.0,7.2727272727272725,64.0,12051174,1.2679,0.3675,0.1378,0.0,0.0643,53.2411,0.6615,8.6086,1.8467,0.3307,1.9477,10.7952,6.0545,0.8728,0.6707,1.8283,2.0304,0.2664,0.0092,0.0,0.0092,0.0276,0.0,0.0,0.0,1.0841,1.0382,0.0459,0.1929,0.1837,108.8444
59,D. Alli,2.0,24.0,188.0,76.0,6.461538461538462,64.0,7285080,1.9422,0.7155,0.2788,0.0,0.2695,32.4223,1.5983,8.9489,1.2359,0.1673,0.6691,11.3836,4.9995,3.0666,1.3753,1.6727,0.9943,0.1673,0.0,0.0,0.0279,0.0,0.0279,0.0,0.0,1.1802,1.0222,0.158,0.4832,0.1859,107.6111
64,D. James,2.0,23.0,170.0,76.0,4.583333333333333,22.5,1773988,2.2536,0.8371,0.161,0.0,0.2093,23.1801,1.1751,10.1896,0.7083,0.0805,0.2415,9.4008,4.7487,2.6078,1.3683,2.5112,0.5473,0.0805,0.0,0.0,0.0644,0.0,0.0,0.0,0.0,1.2234,1.0141,0.2093,0.4668,0.4346,62.1222
70,D. Parejo,2.0,31.0,182.0,74.0,7.333333333333333,28.0,276500,1.2082,0.5223,0.2183,0.0,0.1637,57.4563,2.128,6.0177,0.9977,0.1637,1.0523,7.5377,4.1547,1.6837,1.216,2.0657,0.9666,0.265,0.0078,0.0156,0.0078,0.0234,0.1403,0.039,0.0,1.0445,1.0133,0.0312,0.0702,0.0312,128.2889
71,D. Pereira,2.0,29.0,188.0,83.0,4.2,24.0,343156,1.2451,0.2779,0.0778,0.0,0.0556,38.4968,0.378,5.6139,0.7448,0.1556,1.1784,7.0035,4.2354,0.8004,0.5558,1.1784,1.1339,0.189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0783,1.0116,0.0667,0.1667,0.1,89.9556
72,D. Praet,2.0,26.0,181.0,78.0,6.0,19.0,107659,1.0609,0.3381,0.0466,0.0,0.1049,40.7215,1.0376,6.9365,1.2358,0.0699,1.1425,9.3381,4.8031,2.0751,1.3174,1.0376,0.851,0.1516,0.0,0.0,0.0117,0.0117,0.0,0.0,0.0,1.1775,1.0259,0.1516,0.3381,0.2681,85.7778
73,D. Rice,2.0,21.0,185.0,76.0,5.7,49.5,238354,0.5541,0.1551,0.0222,0.0,0.0332,38.0522,0.3546,7.0475,2.6262,0.3546,1.8616,9.3081,5.3189,1.0749,0.8089,0.1441,0.6205,0.1108,0.0,0.0,0.0,0.0111,0.0,0.0,0.0,1.1192,0.9862,0.133,0.0665,0.2992,90.2444
76,D. Zakaria,2.0,24.0,191.0,80.0,6.0,36.0,65712,1.019,0.3081,0.1066,0.0,0.0355,32.2986,0.5806,7.109,1.1019,0.2844,1.564,6.7299,3.2701,2.263,1.3744,0.782,1.5284,0.3436,0.0,0.0,0.0,0.0118,0.0,0.0,0.0,1.2085,1.0308,0.1777,0.2962,0.2014,84.4
79,D. van de Beek,2.0,23.0,184.0,76.0,4.75,44.0,1087517,1.8555,0.7831,0.3405,0.0,0.2298,28.9729,1.5321,5.2856,0.9363,0.0936,0.9192,5.4218,2.8003,1.515,0.9788,0.6894,0.732,0.1277,0.0,0.0,0.017,0.0,0.0,0.0,0.0,1.1405,1.0214,0.1192,0.3149,0.1702,117.4889
81,E. Can,2.0,26.0,184.0,82.0,4.6923076923076925,24.0,2823284,1.3131,0.3812,0.1694,0.0,0.0706,48.2335,0.819,12.1572,1.8356,0.2542,1.2284,10.251,5.9162,1.6238,1.2002,1.2708,1.6661,0.3812,0.0,0.0141,0.0141,0.0282,0.0141,0.0,0.0,1.3414,0.9743,0.3671,0.2824,0.6495,70.8222
83,E. Dier,2.0,26.0,188.0,88.0,6.461538461538462,20.0,827133,0.681,0.1703,0.0341,0.0,0.0568,52.9739,0.454,11.3734,1.3621,0.3973,1.1918,8.0136,4.2565,0.4313,0.3292,0.3178,0.9989,0.193,0.0,0.0,0.0,0.0,0.0,0.0114,0.0,1.1918,1.0102,0.1816,0.2043,0.5221,88.1
84,E. Forsberg,2.0,29.0,179.0,78.0,5.909090909090909,22.5,122997,2.1617,0.8711,0.3549,0.0,0.242,26.8919,2.3069,11.0181,0.5969,0.0323,0.371,7.8562,3.7587,3.1135,1.952,1.4841,0.7905,0.0161,0.0,0.0161,0.0,0.0,0.1452,0.0,0.0,1.468,1.0002,0.4678,0.5969,0.6775,61.9889
87,F. Anderson,2.0,27.0,175.0,70.0,7.166666666666667,32.0,501782,1.6085,0.6546,0.2057,0.0,0.2057,40.1184,1.8703,8.7344,2.5997,0.0187,1.2157,14.177,6.9202,4.9938,2.7868,1.4589,0.8978,0.0748,0.0,0.0,0.0,0.0187,0.0,0.0,0.0,1.2157,1.0661,0.1496,0.4863,0.1683,53.4667
90,F. Coquelin,2.0,29.0,176.0,74.0,6.538461538461538,19.0,42457,0.4633,0.1123,0.014,0.0,0.0281,41.869,0.5616,14.1669,1.1934,0.2527,2.3729,7.2871,4.0858,1.5445,1.1654,1.2356,1.2917,0.2949,0.014,0.0,0.014,0.014,0.0,0.0,0.0,1.3198,0.9688,0.351,0.3791,0.6037,71.2222
91,F. Grillitsch,2.0,25.0,187.0,74.0,4.9,20.0,23993,1.0237,0.2437,0.0487,0.0,0.0975,48.0772,0.9749,7.0806,1.3527,0.1706,2.0718,9.3229,5.1916,1.4137,0.914,1.7427,1.3284,0.2559,0.0,0.0,0.0,0.0122,0.0,0.0,0.0,1.1699,1.0237,0.1462,0.2681,0.2559,82.0556
92,F. KessiÃ©,2.0,24.0,183.0,74.0,7.0,20.0,518657,1.5138,0.4007,0.1158,0.0,0.0801,38.9492,1.1843,6.1888,0.6411,0.1336,0.7836,8.1211,3.7133,1.7097,1.1398,1.0062,1.5405,0.2226,0.0,0.0,0.0089,0.0267,0.0623,0.0089,0.0,1.0686,1.0151,0.0534,0.1692,0.1069,112.3
93,F. Kostic,2.0,28.0,184.0,82.0,7.333333333333333,32.0,148036,2.2878,0.886,0.2467,0.0,0.3252,20.7701,2.4449,4.486,1.6598,0.1009,0.7402,6.2131,3.2187,3.3645,2.0075,1.0766,1.0206,0.157,0.0,0.0112,0.0,0.0112,0.0,0.0,0.0,1.0206,0.9981,0.0224,0.1121,0.0336,89.1667
95,F. Neuhaus,2.0,23.0,183.0,74.0,7.142857142857143,17.5,46916,2.2773,0.7848,0.1801,0.0,0.1415,32.05,1.0936,7.2823,0.7977,0.0772,0.9135,7.8227,3.8728,2.6762,1.5697,1.8142,1.1451,0.2445,0.0,0.0,0.0643,0.0,0.0,0.0,0.0,1.2223,1.0422,0.1801,0.5147,0.2702,77.7222
96,F. Ruiz,2.0,24.0,189.0,70.0,7.111111111111111,48.0,431271,1.9934,0.6117,0.1371,0.0,0.1266,65.4459,1.6559,8.1425,1.2446,0.1055,1.2551,7.8577,4.4299,2.5313,1.8352,0.9598,0.7067,0.116,0.0105,0.0,0.0,0.0,0.0,0.0,0.0,1.1286,0.9914,0.1371,0.1899,0.2742,94.8111
97,F. Thauvin,2.0,27.0,179.0,70.0,3.7,32.0,1106225,3.3366,1.2765,0.5561,0.0,0.2781,31.2428,1.8579,5.106,0.3665,0.0126,0.3286,12.3733,5.9781,4.373,2.7426,1.504,0.8847,0.2149,0.0,0.0126,0.0253,0.0,0.0632,0.0126,0.0,1.1754,1.049,0.1264,0.5435,0.1769,79.1222
99,F. Torres_Val,2.0,20.0,184.0,77.0,7.0,45.0,136076,1.4554,0.5627,0.1746,0.0,0.194,22.1216,1.3195,12.9043,0.815,0.0388,0.6986,6.0931,3.0466,3.26,1.8823,1.3583,1.0867,0.2135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6882,0.9314,0.7568,0.4657,1.3972,51.5333
100,F. de Jong,2.0,23.0,180.0,74.0,4.454545454545454,72.0,7020902,0.5284,0.1887,0.0566,0.0,0.1227,60.9875,1.0945,5.878,0.7925,0.1698,1.1982,6.3686,4.1702,2.3965,1.953,1.1605,0.585,0.0755,0.0094,0.0,0.0189,0.0,0.0,0.0,0.0,1.1322,1.0095,0.1227,0.2359,0.2076,105.9889
101,Fabinho,2.0,27.0,188.0,78.0,5.3076923076923075,56.0,1820950,0.6294,0.177,0.0983,0.0,0.0688,51.5845,0.7671,8.1335,1.5736,0.1377,1.2589,11.5463,6.678,0.9245,0.6589,1.4162,1.4851,0.2852,0.0,0.0,0.0098,0.0,0.0393,0.0,0.0,1.1409,0.9737,0.1672,0.0688,0.2655,101.6778
103,Fred,2.0,27.0,169.0,64.0,5.818181818181818,17.5,5309528,1.0243,0.2276,0.0797,0.0,0.0569,40.1517,0.8308,8.5243,1.3998,0.148,0.9788,7.17,3.2777,1.3316,0.9788,1.0015,1.1267,0.3414,0.0114,0.0,0.0,0.0114,0.0114,0.0,0.0,1.1495,1.0129,0.1366,0.2049,0.4097,87.8667
105,G. Castrovilli,2.0,23.0,176.0,71.0,2.3333333333333335,20.0,124165,0.4302,0.1335,0.1335,0.0,0.0297,9.3605,0.4154,2.1955,0.5785,0.0297,0.2225,0.0,0.0,1.5131,1.0829,0.9049,0.6972,0.2522,0.0,0.0,0.0148,0.0148,0.0,0.0,0.0,1.2164,1.0087,0.2077,0.4302,0.3264,67.4111
108,G. Guedes,2.0,24.0,179.0,68.0,6.181818181818182,22.5,459148,2.1047,0.7065,0.2208,0.0,0.2061,25.4178,1.4571,11.8626,0.4857,0.0,0.5004,11.7007,6.0491,4.2535,2.502,2.8553,1.2805,0.1177,0.0,0.0,0.0294,0.0,0.0,0.0,0.0,1.3835,1.0008,0.3827,0.4857,0.5298,67.9444
111,G. Kondogbia,2.0,27.0,188.0,80.0,5.7272727272727275,22.5,14179,1.0551,0.227,0.0935,0.0,0.0668,43.3506,0.5075,10.2166,1.4156,0.3072,2.3238,11.018,6.0499,1.6961,1.3889,1.6293,1.7495,0.3606,0.0134,0.0,0.0,0.0267,0.0,0.0134,0.0,1.1752,1.0283,0.1469,0.2404,0.2938,74.8778
112,G. Lo Celso,2.0,24.0,177.0,68.0,5.818181818181818,40.0,1173967,1.9484,0.7938,0.2887,0.0,0.1203,48.7826,1.2268,9.3211,1.3471,0.0842,0.6856,10.5118,5.6288,3.4518,2.201,2.1769,1.2629,0.2646,0.012,0.0,0.0241,0.012,0.0241,0.0241,0.0,1.4673,0.9141,0.5533,0.2646,0.7216,83.1444
117,G. Sigurdsson,2.0,31.0,186.0,79.0,6.4,22.5,232800,1.9891,0.75,0.2391,0.0,0.1522,22.8478,1.9565,7.6522,1.4783,0.1304,1.0326,8.9022,3.8152,1.4348,0.8478,0.8587,1.0,0.1087,0.0,0.0,0.0,0.0,0.0326,0.0326,0.0,1.1196,1.0217,0.0978,0.3696,0.1522,92.0
118,G. Wijnaldum,2.0,30.0,175.0,69.0,5.166666666666667,40.0,4309592,1.0683,0.3339,0.1169,0.0,0.0334,42.3333,0.7095,6.6855,0.9515,0.1252,0.6844,7.6788,3.9061,1.8446,1.2019,0.8931,0.5091,0.0584,0.0,0.0,0.0083,0.0,0.0,0.0,0.0,1.1685,1.0183,0.1502,0.3339,0.1753,119.8111
119,G. Xhaka,2.0,28.0,185.0,82.0,5.538461538461538,24.0,2041052,1.1375,0.325,0.0599,0.0,0.1112,64.1794,1.1461,7.3382,1.6507,0.2993,0.975,9.1086,4.6869,0.6928,0.5046,1.3257,1.702,0.3336,0.0,0.0,0.0,0.0257,0.0,0.0,0.0,1.0434,1.0178,0.0257,0.1454,0.0684,116.9222
120,H. Aouar,2.0,22.0,175.0,70.0,4.75,49.5,348189,1.8207,0.6587,0.2104,0.0,0.2196,43.4584,1.2717,6.0018,0.8509,0.1098,0.9149,8.8289,4.5654,3.9067,2.516,1.6377,0.86,0.0915,0.0,0.0,0.0183,0.0,0.0091,0.0,0.0,1.1711,1.0064,0.1647,0.3202,0.3019,109.3
121,H. Barnes,2.0,23.0,174.0,66.0,6.583333333333333,17.5,74268,3.0563,0.9719,0.2813,0.0,0.2558,20.243,1.5729,10.7161,0.4604,0.0767,0.3069,10.0384,4.5396,3.6445,1.9821,1.2404,0.8056,0.0256,0.0,0.0,0.0256,0.0,0.0,0.0,0.0,1.3555,1.0614,0.2941,0.6777,0.4476,78.2
126,H. Mkhitaryan,2.0,31.0,177.0,75.0,6.0588235294117645,20.0,2784521,2.0578,0.7833,0.239,0.0,0.2655,35.2087,1.6861,16.3697,1.1816,0.1195,0.77,9.2005,4.0493,2.6287,1.2878,1.1285,1.1285,0.1328,0.0,0.0,0.0398,0.0266,0.0,0.0,0.0,1.3807,0.9957,0.385,0.4779,0.5045,75.3222
127,H. Wilson,2.0,23.0,173.0,70.0,6.111111111111111,17.5,407655,2.6997,1.014,0.4346,0.0,0.1054,22.8227,1.3565,7.77,0.7638,0.079,0.5795,9.4952,4.5303,1.6594,0.777,2.3705,0.7507,0.1844,0.0,0.0,0.0395,0.0132,0.0527,0.0132,0.0,1.2116,1.0667,0.1449,0.619,0.1975,75.9333
